words	freq	n	p
尾犬	80	2	6.81683E-06
苯實	79	2	6.73162E-06
魯舞	79	2	6.73162E-06
癲能	79	2	6.73162E-06
執銀	79	2	6.73162E-06
終角人	79	3	6.73162E-06
網霉	79	2	6.73162E-06
栗正	79	2	6.73162E-06
七小陣	78	3	6.64641E-06
抵狗死	78	3	6.64641E-06
立圾局	78	3	6.64641E-06
膠凳仔	77	3	6.5612E-06
小那媽	76	3	6.47599E-06
膠黃絲	76	3	6.47599E-06
妓怯	76	2	6.47599E-06
林卓狗	76	3	6.47599E-06
攻聞黨	76	3	6.47599E-06
周蟲	76	2	6.47599E-06
癲線	75	2	6.39078E-06
阻九住	75	3	6.39078E-06
雞莊	75	2	6.39078E-06
癲狗黎	74	3	6.30557E-06
乜染	74	2	6.30557E-06
插九	74	2	6.30557E-06
呆灣豬	74	3	6.30557E-06
李豬明	74	3	6.30557E-06
余老薇	74	3	6.30557E-06
蝗婆	74	2	6.30557E-06
